0,conv3x3s2,80,3,2,3,32,1027158,1040813,11129,828,0,10272,29
1,dw3x3s1,130,3,1,32,32,238830,241385,34119,4351,0,29604,164
2,pw1x1,1600,3,1,32,16,494864,494864,9404,1475,0,7899,30
3,pw1x1,40,1,1,16,96,2243925,2299008,19334,653,0,18591,90
4,dw3x3s2,129,3,2,96,96,203820,203820,37416,13225,0,23923,268
5,pw1x1,400,5,1,96,24,552774,552774,6676,752,0,5912,12
6,pw1x1,400,3,1,24,144,1310115,1310115,14174,2299,0,11815,60
9,pw1x1,400,3,1,24,144,1319662,1319662,14360,2360,0,11940,60
7,dw3x3s1,66,3,1,144,144,306499,306499,42939,6079,0,36482,378
8,pw1x1,400,6,1,144,24,769145,769145,9379,1110,0,8257,12
10,dw3x3s2,65,3,2,144,144,59239,59239,14312,4843,0,9251,218
11,pw1x1,100,6,1,144,32,330275,330275,3108,384,0,2717,7
12,pw1x1,100,3,1,32,192,595018,595018,5975,851,0,5082,42
15,pw1x1,100,3,1,32,192,594653,594653,5964,840,0,5082,42
18,pw1x1,100,3,1,32,192,590776,590776,5952,852,0,5058,42
13,dw3x3s1,34,3,1,192,192,81192,81192,15409,2617,0,12527,265
16,dw3x3s1,34,3,1,192,192,72858,72858,14485,2412,0,11807,266
14,pw1x1,100,8,1,192,32,281955,281955,2830,472,0,2351,7
17,pw1x1,100,8,1,192,32,275130,275130,2738,439,0,2292,7
19,dw3x3s2,65,3,2,192,192,15635,15635,8047,2197,0,5666,184
20,pw1x1,64,8,1,192,64,248376,248376,2747,509,0,2226,12
23,pw1x1,64,8,1,384,64,289494,289494,3146,366,0,2768,12
26,pw1x1,64,8,1,384,64,280899,280899,3104,374,0,2718,12
29,pw1x1,64,8,1,384,64,277591,277591,3074,354,0,2708,12
32,pw1x1,64,8,1,384,96,559844,559844,5814,651,0,5145,18
35,pw1x1,64,8,1,576,96,578906,578906,6255,501,0,5736,18
38,pw1x1,64,8,1,576,96,610240,610240,6621,513,0,6090,18
21,pw1x1,25,4,1,64,384,592819,592819,6875,1055,0,5748,72
24,pw1x1,25,4,1,64,384,591993,591993,6852,1056,0,5724,72
27,pw1x1,25,4,1,64,384,594095,594145,6888,1056,0,5760,72
30,pw1x1,25,4,1,64,384,600126,600126,6996,1056,0,5868,72
22,dw3x3s1,34,3,1,384,384,22291,22291,14526,2473,0,11751,302
25,dw3x3s1,34,3,1,384,384,17612,17612,12286,2296,0,9682,308
28,dw3x3s1,34,3,1,384,384,15014,15014,10840,2174,0,8344,322
31,dw3x3s1,34,3,1,384,384,19307,19307,13974,2376,0,11295,303
34,dw3x3s1,34,3,1,576,576,21967,21967,16093,3256,0,12360,477
37,dw3x3s1,34,3,1,576,576,20167,20167,15452,3202,0,11765,485
33,pw1x1,25,5,1,96,576,1322028,1322028,14795,2249,0,12438,108
36,pw1x1,25,5,1,96,576,1308807,1308907,14814,2250,0,12456,108
39,pw1x1,25,5,1,96,576,1327910,1327910,14832,2250,0,12474,108
40,dw3x3s2,33,3,2,576,576,7174,7174,7188,2973,0,3744,471
41,pw1x1,64,8,1,576,160,653606,653606,8159,754,0,7375,30
44,pw1x1,64,8,1,960,160,621621,621621,10955,625,0,10300,30
47,pw1x1,64,8,1,960,160,560955,560955,10860,575,0,10255,30
50,pw1x1,64,8,1,960,320,2488997,2488997,30210,1550,0,28600,60
51,pw1x1,64,8,1,320,1280,3562915,3562915,45920,6440,0,39240,240
42,pw1x1,49,7,1,160,960,1276502,1276502,18599,3809,0,14670,120
45,pw1x1,49,7,1,160,960,1283072,1283072,18540,3810,0,14610,120
48,pw1x1,49,7,1,160,960,1249035,1249052,17940,3750,0,14070,120
43,dw3x3s1,18,3,1,960,960,4673,4673,14517,4435,0,9492,590
46,dw3x3s1,18,3,1,960,960,3901,3901,12972,4324,0,8060,588
49,dw3x3s1,18,3,1,960,960,2139,2139,9500,4104,0,4753,643
