N_PE,N_MULTS,FIFO_D,LUT,FF,DSP,BRAM
2,4,64,22823,31033,0,0
4,4,64,29314,44891,0,0
8,4,64,42175,72610,0,0
16,4,64,67878,128046,0,0
8,1,64,19296,42715,0,0
8,2,64,22631,44722,0,0
8,8,64,108193,129267,0,0
8,4,16,32508,43623,0,0
8,4,32,36101,53300,0,0
8,4,128,55820,111139,0,0
